# Number, ALPHA_J2000, DELTA_J2000, MAG_CAT_1, MAG_CAT_2
1,56.871005866502,23.401239324063432,17.565187,19.042723
2,56.39060741632113,23.4025441048527,16.572186,17.909449
3,57.39942377980271,23.400224360700843,17.059109,18.07029
4,56.20025292420242,23.40315945461508,17.989796,17.073442
5,57.13328474579491,23.401042660070583,16.297104,18.308456
6,56.33808836920658,23.403036651171178,17.82209,19.477953
7,57.25290072938513,23.400911978281997,16.580761,17.655552
8,56.63682659447249,23.40250631362959,16.511774,18.10681
9,57.28400533981668,23.40111899999437,17.982067,17.80671
10,56.60590759907306,23.402727576621185,17.104053,18.478245
11,56.5574286947455,23.4027857875344,12.8934965,14.189443
12,56.77583271489205,23.40241969472983,15.808315,17.132298
13,56.90704341547343,23.4021275305043,17.234287,18.323624
14,56.98301797737567,23.40199986858459,17.79428,17.276754
15,57.33408361432522,23.40136587919735,18.481298,13.945719
16,57.56453010978617,23.40102610656708,17.514414,18.5522
17,57.47435247956825,23.401191837103827,15.72602,17.010149
18,57.04332947223659,23.40214348771543,18.226233,17.908329
19,56.364238118338456,23.40384194922645,18.086248,19.260633
20,56.767728394409964,23.402842823346905,17.621878,18.826462
21,57.28512983619461,23.40179800432403,17.431004,17.80671
22,56.60301458440499,23.403297549818234,15.66639,17.000254
23,57.59840632307845,23.40131728178581,18.789602,17.783485
24,57.643826706811836,23.401385383767092,18.57553,17.994535
25,57.285891977544274,23.40217174076351,17.426859,17.80671
26,56.549087162163744,23.40438009449288,17.693464,14.189443
27,56.86339279750571,23.403557730106847,17.64214,18.742199
28,57.484220799890814,23.40228706624164,13.855987,15.124628
29,56.41970241581519,23.404711957593783,16.914373,17.943384
30,57.06099798632835,23.403366548515972,15.528313,16.687998
31,57.22999601063996,23.40297184122361,14.358773,15.610827
32,56.79188713083601,23.40414445834934,16.013252,18.093477
33,57.020726086578875,23.403682725443268,17.829777,18.104052
34,56.18230262871445,23.405918782087614,17.40722,19.144896
35,56.663127633523246,23.404729882438698,16.987488,18.166834
36,56.420313539870484,23.405507572281966,17.210945,18.613245
37,56.22700605521127,23.40600756951772,16.547962,18.683136
38,57.45584875599529,23.403299015701805,18.47461,16.173769
39,57.18402890709834,23.403912470659225,18.470175,19.12836
40,57.23118632879367,23.40382461909361,17.345634,18.948374
41,57.42860973412566,23.403740135470557,15.095627,16.813463
42,57.54122324479005,23.403622289928318,15.69888,17.824114
43,56.284528299171356,23.406725085654905,16.604235,18.659119
44,57.367252508707544,23.404313210804183,12.937827,14.404679
45,56.466834063826454,23.406456317354394,18.646654,17.654877
46,57.43958707906439,23.40421455908034,18.68306,16.813463
47,56.46504559371429,23.406640633198084,18.518934,11.007231
48,56.61453181610826,23.406383424795795,18.547272,17.476887
49,57.31503263393338,23.404826235017435,17.67127,19.530243
