# Number, ALPHA_J2000, DELTA_J2000, MAG_CAT_1, MAG_CAT_2
1,56.871005866502,23.401239324063432,17.565187,19.042723
2,56.39060741632113,23.4025441048527,17.059109,18.07029
3,57.39942377980271,23.400224360700843,16.572186,17.909449
4,56.20025292420242,23.40315945461508,16.297104,18.308456
5,57.13328474579491,23.401042660070583,16.580761,17.655552
6,56.33808836920658,23.403036651171178,17.104053,18.478245
7,57.25290072938513,23.400911978281997,16.511774,18.10681
8,56.63682659447249,23.40250631362959,12.8934965,14.189443
9,57.28400533981668,23.40111899999437,17.234287,18.323624
10,56.60590759907306,23.402727576621185,15.808315,17.132298
11,56.5574286947455,23.4027857875344,18.226233,17.908329
12,56.77583271489205,23.40241969472983,17.514414,18.5522
13,56.90704341547343,23.4021275305043,15.72602,17.010149
14,56.98301797737567,23.40199986858459,17.621878,18.826462
15,57.33408361432522,23.40136587919735,15.66639,17.000254
16,57.56453010978617,23.40102610656708,18.226233,17.332867
17,57.47435247956825,23.401191837103827,18.226233,18.936762
18,57.04332947223659,23.40214348771543,17.64214,18.742199
19,56.364238118338456,23.40384194922645,13.855987,15.124628
20,56.767728394409964,23.402842823346905,16.914373,17.943384
21,57.28512983619461,23.40179800432403,15.528313,16.687998
22,56.60301458440499,23.403297549818234,14.358773,15.610827
23,57.59840632307845,23.40131728178581,16.013252,18.093477
24,57.643826706811836,23.401385383767092,17.40722,19.144896
25,57.285891977544274,23.40217174076351,17.426859,17.80671
26,56.549087162163744,23.40438009449288,17.210945,18.613245
27,56.86339279750571,23.403557730106847,18.470175,19.12836
28,57.484220799890814,23.40228706624164,17.345634,18.948374
29,56.41970241581519,23.404711957593783,16.547962,18.683136
30,57.06099798632835,23.403366548515972,10.725994,11.994055
31,57.22999601063996,23.40297184122361,15.528313,15.567432
32,56.79188713083601,23.40414445834934,15.095627,16.813463
33,57.020726086578875,23.403682725443268,15.69888,17.824114
34,56.18230262871445,23.405918782087614,16.604235,18.659119
35,56.663127633523246,23.404729882438698,12.937827,14.404679
36,56.420313539870484,23.405507572281966,18.539307,19.337309
37,56.22700605521127,23.40600756951772,13.739009,15.8324585
38,57.45584875599529,23.403299015701805,12.668474,13.945719
39,57.18402890709834,23.403912470659225,15.528313,18.427551
40,57.23118632879367,23.40382461909361,15.192791,17.21021
41,57.42860973412566,23.403740135470557,17.238914,18.738874
42,57.54122324479005,23.403622289928318,15.315252,17.073442
43,56.284528299171356,23.406725085654905,16.462343,17.978954
44,57.367252508707544,23.404313210804183,16.711365,17.994535
45,56.466834063826454,23.406456317354394,15.83019,18.166834
46,57.43958707906439,23.40421455908034,16.680614,18.524628
47,56.46504559371429,23.406640633198084,14.556561,16.183651
48,56.61453181610826,23.406383424795795,16.06786,17.441898
49,57.31503263393338,23.404826235017435,16.297104,18.109205
50,56.21243577714526,23.40772759800201,17.305574,18.746164
51,56.54924485477496,23.406757543766393,14.778213,16.03497
52,57.47040006117879,23.404817202178876,18.675394,18.540688
53,56.570010291834954,23.407026565606195,16.067438,18.104052
54,57.323681294725326,23.40533394255274,16.166723,17.199436
55,57.62026201141184,23.405133265568896,14.701364,16.158852
56,56.22666459151787,23.408578634658394,10.755079,11.75371
57,56.241699826507194,23.40858309640493,15.62687,19.530243
58,56.20008113545131,23.40889659531401,15.092986,16.173769
59,56.94634920476544,23.407248224907363,16.264343,18.51792
60,56.51720176576505,23.40540539556468,17.365984,19.153015
61,57.63649097356052,23.40600840618158,17.770454,19.085327
62,56.65666280551092,23.40809963799629,16.297104,16.97756
63,56.160871858411326,23.409665587021713,15.221562,16.324802
64,56.97197257840006,23.40773092946815,12.396643,14.34691
65,57.21464015121979,23.407106941855517,15.916002,17.476887
66,56.54533204318549,23.408800035558844,18.675394,20.050402
67,57.544179174914404,23.40674592725839,16.100525,17.276754
68,56.657738799579825,23.40870244979048,14.82527,15.860411
69,57.1046137919685,23.40764853614537,16.9291,18.020826
70,57.58619366098563,23.407005598458188,13.122269,14.30484
71,57.1157924704878,23.408004571211986,15.470562,17.338663
72,56.61364642634326,23.409195439899918,17.255627,18.296583
73,57.17440841030251,23.408220738809945,13.764478,15.120531
74,56.42428308122867,23.409964972674565,17.025267,18.884932
75,56.5995186199429,23.409594182979568,16.484726,18.483412
76,57.10557937842436,23.408419266057674,17.14827,18.692709
77,56.772604410781696,23.409304047790734,18.081316,19.35866
78,57.019653530902495,23.408799633792494,15.62687,16.694775
79,57.52935926976418,23.407816133586422,16.521145,18.692884
80,56.58032862368123,23.409907195643026,23.182415,20.026102
81,56.1729333602824,23.4110412251522,15.648335,17.353186
82,56.7495684363596,23.409660942716474,14.065298,15.115268
83,57.18060477740029,23.40911520464418,11.767773,12.922952
84,56.930942834720604,23.409599962907947,16.657906,18.27178
85,57.53666395449175,23.408487534563708,13.964245,14.958632
86,56.22148132058485,23.4118885876875,15.29559,17.196589
87,57.15017278156765,23.409567903549107,17.871891,19.477953
88,57.451159725150994,23.409176695114724,16.939358,18.815605
89,56.201211036914046,23.412191865292655,23.182415,99.0
90,56.923371225232586,23.410490699827154,12.958656,14.107865
91,57.42728604604528,23.409430716065582,17.51169,19.403633
92,56.52776274711433,23.41160381340413,16.440891,17.824293
93,56.9606891168382,23.40989176418181,15.962252,17.109068
94,57.559377395776,23.409741577597014,14.986566,16.492552
95,57.21257509891833,23.410430888217814,16.38322,17.783485
96,56.64723106246315,23.41162728106096,16.700249,18.110456
97,56.19491727017179,23.4129638154453,16.511797,17.742582
98,56.60977279809637,23.411945101011874,14.24049,15.458287
99,56.49814933060118,23.41263493562435,17.35167,19.167583
100,56.11737390286043,23.41390930467831,15.2869215,17.207163
101,56.98539331351137,23.411655157115018,15.744166,16.742643
102,57.55259372480387,23.4106307001545,16.43956,17.943336
103,57.60335727576243,23.410504854249627,13.403599,14.688625
104,56.98876413400666,23.41175418511924,10.729039,11.922882
105,56.11308679432985,23.414345649331384,17.560005,17.782066
106,57.18565032266447,23.41160231872493,18.115965,19.705658
107,57.38574366866636,23.411332500033758,21.894375,19.080072
108,56.25011882884566,23.41422032101306,16.126444,17.624538
109,57.346574063265834,23.411598130685434,14.108089,15.369359
