# Number, ALPHA_J2000, DELTA_J2000, MAG_CAT_1, MAG_CAT_2
1,56.871005866502,23.401239324063432,17.565187,19.042723
2,56.39060741632113,23.4025441048527,16.572186,17.909449
3,57.39942377980271,23.400224360700843,17.059109,18.07029
4,56.20025292420242,23.40315945461508,16.580761,17.655552
5,57.13328474579491,23.401042660070583,16.511774,18.10681
6,56.33808836920658,23.403036651171178,17.104053,18.478245
7,57.25290072938513,23.400911978281997,17.234287,18.323624
8,56.63682659447249,23.40250631362959,17.514414,18.5522
9,57.28400533981668,23.40111899999437,15.72602,17.010149
10,56.60590759907306,23.402727576621185,17.621878,18.826462
11,56.5574286947455,23.4027857875344,17.64214,18.742199
12,56.77583271489205,23.40241969472983,16.914373,17.943384
13,56.90704341547343,23.4021275305043,14.358773,15.610827
14,56.98301797737567,23.40199986858459,17.40722,19.144896
15,57.33408361432522,23.40136587919735,17.210945,17.943384
16,57.56453010978617,23.40102610656708,16.547962,18.683136
17,57.47435247956825,23.401191837103827,18.470175,19.12836
18,57.04332947223659,23.40214348771543,15.69888,17.824114
19,56.364238118338456,23.40384194922645,12.937827,14.404679
20,56.767728394409964,23.402842823346905,18.539307,19.337309
21,57.28512983619461,23.40179800432403,12.668474,13.945719
22,56.60301458440499,23.403297549818234,17.238914,18.738874
23,57.59840632307845,23.40131728178581,15.192791,17.21021
24,57.643826706811836,23.401385383767092,16.462343,17.978954
25,57.285891977544274,23.40217174076351,10.725994,11.994055
26,56.549087162163744,23.40438009449288,15.83019,18.166834
27,56.86339279750571,23.403557730106847,16.680614,18.524628
28,57.484220799890814,23.40228706624164,16.06786,17.441898
29,56.41970241581519,23.404711957593783,14.778213,16.03497
30,57.06099798632835,23.403366548515972,16.166723,17.199436
31,57.22999601063996,23.40297184122361,16.264343,18.51792
32,56.79188713083601,23.40414445834934,17.365984,19.153015
33,57.020726086578875,23.403682725443268,10.755079,11.75371
34,56.18230262871445,23.405918782087614,15.221562,16.324802
35,56.663127633523246,23.404729882438698,12.396643,14.34691
36,56.420313539870484,23.405507572281966,15.916002,17.476887
37,56.22700605521127,23.40600756951772,16.100525,17.276754
38,57.45584875599529,23.403299015701805,14.82527,15.860411
39,57.18402890709834,23.403912470659225,16.9291,18.020826
40,57.23118632879367,23.40382461909361,15.470562,17.338663
41,57.42860973412566,23.403740135470557,13.764478,15.120531
42,57.54122324479005,23.403622289928318,17.025267,18.884932
43,56.284528299171356,23.406725085654905,17.14827,18.692709
44,57.367252508707544,23.404313210804183,18.081316,19.35866
45,56.466834063826454,23.406456317354394,15.62687,16.694775
46,57.43958707906439,23.40421455908034,15.648335,17.353186
47,56.46504559371429,23.406640633198084,14.065298,15.115268
48,56.61453181610826,23.406383424795795,16.657906,18.27178
49,57.31503263393338,23.404826235017435,13.964245,14.958632
