1, 1
2, 3
3, 2
5, 4
7, 5
8, 7
10, 6
11, 8
12, 10
13, 9
16, 12
17, 13
18, 11
20, 14
22, 15
27, 18
28, 19
29, 20
30, 21
31, 22
32, 23
34, 24
36, 26
37, 29
39, 27
40, 28
41, 32
42, 33
43, 34
44, 35
50, 36
53, 37
54, 38
56, 41
57, 40
58, 42
59, 43
60, 30
61, 44
62, 45
63, 47
65, 46
67, 48
71, 50
74, 51
78, 53
84, 54
85, 55
88, 58
89, 59
91, 60
93, 56
94, 61
95, 63
96, 64
98, 65
101, 67
104, 68
105, 69
106, 70
107, 71
111, 72
112, 73
113, 74
115, 75
118, 76
120, 77
123, 79
124, 78
128, 81
129, 82
131, 83
132, 84
133, 85
135, 86
139, 87
141, 88
143, 92
144, 91
145, 90
149, 93
152, 94
153, 96
154, 95
159, 97
160, 98
161, 99
165, 100
166, 101
168, 102
170, 103
172, 106
180, 108
182, 109
183, 110
186, 111
189, 113
190, 114
191, 115
192, 116
193, 118
194, 104
196, 119
197, 120
199, 121
203, 124
204, 125
205, 126
207, 129
208, 128
210, 130
215, 131
217, 132
218, 134
219, 135
220, 133
221, 136
224, 137
228, 138
232, 141
233, 140
234, 142
235, 143
236, 144
239, 146
242, 147
244, 148
246, 149
248, 151
250, 152
251, 153
252, 156
256, 150
257, 157
260, 158
263, 154
264, 160
266, 161
270, 162
274, 163
276, 164
277, 165
278, 167
279, 166
283, 168
284, 169
285, 170
290, 171
292, 172
293, 174
294, 173
295, 175
299, 176
300, 178
301, 179
302, 187
304, 181
305, 182
306, 183
310, 185
311, 187
312, 186
314, 188
319, 189
323, 190
327, 192
328, 193
329, 194
331, 196
333, 197
336, 201
337, 199
338, 202
339, 203
340, 204
342, 205
343, 206
345, 208
346, 210
347, 211
348, 177
351, 212
353, 213
354, 214
357, 215
359, 216
361, 217
363, 218
364, 220
365, 219
366, 221
367, 222
369, 223
373, 224
374, 225
376, 226
377, 227
378, 228
379, 207
380, 229
381, 232
382, 231
383, 233
386, 234
387, 236
389, 238
390, 237
391, 240
392, 239
394, 241
396, 242
400, 244
401, 245
404, 248
405, 249
406, 250
408, 252
410, 253
411, 255
412, 256
416, 258
418, 259
420, 260
422, 261
425, 262
429, 263
430, 264
432, 266
433, 267
435, 269
